MODZCTA,label,lon,lat
10001,"10001, 10118",-73.997137,40.750693
10002,10002,-73.986176,40.715781
10003,10003,-73.989164,40.731825
10004,10004,-74.013106,40.703675
10005,10005,-74.008861,40.706092
10006,10006,-74.013044,40.709651
10007,10007,-74.007546,40.713923
10009,10009,-73.978704,40.72638
10010,10010,-73.982544,40.739119
10011,10011,-74.000062,40.741707
10012,10012,-73.998078,40.725576
10013,10013,-74.004763,40.720096
10014,10014,-74.006314,40.73402
10016,10016,-73.978319,40.745174
10017,10017,-73.973037,40.752543
10018,10018,-73.992667,40.755191
10019,"10019, 10020",-73.985974,40.76528
10021,10021,-73.958771,40.769474
10022,10022,-73.968098,40.758676
10023,10023,-73.982658,40.775901
10024,10024,-73.974871,40.792085
10025,10025,-73.966585,40.798651
10026,10026,-73.952521,40.802341
10027,10027,-73.953204,40.8118
10028,10028,-73.953509,40.776432
10029,10029,-73.943969,40.791777
10030,10030,-73.942842,40.818326
10031,10031,-73.950037,40.825278
10032,10032,-73.942824,40.838768
10033,10033,-73.934007,40.850497
10034,10034,-73.924048,40.867168
10035,10035,-73.924596,40.791
10036,10036,-73.989705,40.75916
10037,10037,-73.937419,40.812957
10038,10038,-74.002391,40.709696
10039,10039,-73.936247,40.830807
10040,10040,-73.93049,40.85831
10044,10044,-73.949924,40.761931
10065,10065,-73.963135,40.764616
10069,10069,-73.990256,40.775924
10075,"10075, 10162",-73.955884,40.773132
10128,10128,-73.950226,40.781466
10280,10280,-74.016654,40.709318
10282,10282,-74.015077,40.716409
10301,10301,-74.096232,40.628224
10302,10302,-74.137891,40.630598
10303,10303,-74.169166,40.632135
10304,10304,-74.0943,40.605985
10305,10305,-74.075437,40.595474
10306,10306,-74.125541,40.571571
10307,10307,-74.24227,40.507771
10308,10308,-74.150454,40.551574
10309,10309,-74.220574,40.531355
10310,10310,-74.11618,40.632398
10312,10312,-74.18169,40.545128
10314,10314,-74.166462,40.599333
10451,10451,-73.923865,40.820705
10452,10452,-73.923461,40.837364
10453,10453,-73.913578,40.852304
10454,10454,-73.916605,40.805487
10455,10455,-73.908583,40.8147
10456,10456,-73.908121,40.829884
10457,10457,-73.898676,40.847151
10458,10458,-73.88817,40.862531
10459,10459,-73.892976,40.82584
10460,10460,-73.879584,40.841753
10461,10461,-73.840601,40.847415
10462,10462,-73.858772,40.842874
10463,10463,-73.906514,40.880824
10464,10464,-73.804653,40.872311
10465,10465,-73.822886,40.823931
10466,10466,-73.845912,40.890965
10467,10467,-73.873956,40.880939
10468,10468,-73.899844,40.868161
10469,10469,-73.846984,40.86876
10470,10470,-73.86802,40.895986
10471,10471,-73.901518,40.899509
10472,10472,-73.869393,40.829561
10473,10473,-73.858718,40.818135
10474,10474,-73.884618,40.810595
10475,10475,-73.824854,40.868941
11004,"11004, 11005",-73.710907,40.748068
11101,11101,-73.938586,40.747077
11102,11102,-73.925912,40.772498
11103,11103,-73.913541,40.762536
11104,11104,-73.920205,40.744658
11105,11105,-73.906286,40.778969
11106,11106,-73.931771,40.761792
11109,11109,-73.956999,40.746211
11201,11201,-73.989581,40.694609
11203,11203,-73.934363,40.649576
11204,11204,-73.984824,40.618774
11205,11205,-73.966212,40.694625
11206,11206,-73.942361,40.701957
11207,11207,-73.894255,40.670819
11208,11208,-73.871084,40.668385
11209,11209,-74.030011,40.621811
11210,11210,-73.946316,40.628165
11211,"11211, 11249",-73.953851,40.712334
11212,11212,-73.913011,40.662935
11213,11213,-73.93633,40.671074
11214,11214,-73.99621,40.598729
11215,11215,-73.986872,40.66252
11216,11216,-73.94931,40.680785
11217,"11217, 11243",-73.97938,40.682417
11218,11218,-73.976044,40.64348
11219,11219,-73.996666,40.632662
11220,11220,-74.016495,40.641081
11221,11221,-73.927885,40.691339
11222,11222,-73.947562,40.728292
11223,11223,-73.973422,40.597169
11224,11224,-73.988581,40.57666
11225,11225,-73.954226,40.663056
11226,11226,-73.956654,40.646456
11228,11228,-74.013054,40.616715
11229,11229,-73.944465,40.601175
11230,11230,-73.965096,40.622164
11231,11231,-74.004445,40.677562
11232,11232,-74.005304,40.655984
11233,11233,-73.919931,40.678302
11234,11234,-73.910513,40.60758
11235,11235,-73.949669,40.583915
11236,11236,-73.901459,40.640004
11237,11237,-73.920883,40.704153
11238,11238,-73.963804,40.679179
11239,11239,-73.882398,40.64753
11354,11354,-73.827229,40.76863
11355,11355,-73.821014,40.751459
11356,11356,-73.841495,40.784867
11357,11357,-73.810964,40.78639
11358,11358,-73.79637,40.760475
11360,11360,-73.7808,40.78205
11361,11361,-73.772419,40.763748
11362,11362,-73.736995,40.756533
11363,11363,-73.746444,40.772803
11364,11364,-73.760578,40.745279
11365,11365,-73.794806,40.739775
11366,11366,-73.784981,40.728136
11367,11367,-73.826297,40.730383
11368,11368,-73.852604,40.749594
11369,11369,-73.872812,40.768944
11370,11370,-73.891021,40.763466
11372,11372,-73.883634,40.75169
11373,11373,-73.8785,40.738823
11374,11374,-73.861497,40.726441
11375,11375,-73.846184,40.720931
11377,11377,-73.90516,40.744823
11378,11378,-73.909399,40.724768
11379,11379,-73.879597,40.716758
11385,11385,-73.890159,40.701058
11411,11411,-73.735998,40.694202
11412,11412,-73.758984,40.698095
11413,11413,-73.750842,40.669738
11414,11414,-73.844905,40.658266
11415,11415,-73.828212,40.708323
11416,11416,-73.849549,40.684652
11417,11417,-73.844522,40.676457
11418,11418,-73.836062,40.700236
11419,11419,-73.822901,40.688676
11420,11420,-73.817812,40.673518
11421,11421,-73.85867,40.69405
11422,11422,-73.73608,40.660819
11423,11423,-73.767865,40.71491
11426,11426,-73.722384,40.736521
11427,11427,-73.745611,40.730915
11428,11428,-73.742206,40.721015
11429,11429,-73.738731,40.709772
11432,11432,-73.793064,40.715359
11433,11433,-73.787095,40.69823
11434,11434,-73.783386,40.656866
11435,11435,-73.809618,40.701291
11436,11436,-73.796618,40.675819
11691,11691,-73.761357,40.60133
11692,11692,-73.792203,40.592794
11693,11693,-73.821926,40.603699
11694,11694,-73.844553,40.577599
11697,11697,-73.907199,40.55907
